Causa de muerte (lista reducida);Sexo;Provincia de defunción;Total
001-102 I-XXII.Todas las causas;Total;Total;231014
001-102 I-XXII.Todas las causas;Total;Albacete;2814
001-102 I-XXII.Todas las causas;Total;Alicante/Alacant;7610
001-102 I-XXII.Todas las causas;Total;Almería;2385
001-102 I-XXII.Todas las causas;Total;Araba/Alava;1507
001-102 I-XXII.Todas las causas;Total;Asturias;6217
001-102 I-XXII.Todas las causas;Total;Avila;1206
001-102 I-XXII.Todas las causas;Total;Badajoz;3203
001-102 I-XXII.Todas las causas;Total;Balears;3620
001-102 I-XXII.Todas las causas;Total;Barcelona;30961
001-102 I-XXII.Todas las causas;Total;Bizkaia;6116
001-102 I-XXII.Todas las causas;Total;Burgos;2141
001-102 I-XXII.Todas las causas;Total;Cáceres;2665
001-102 I-XXII.Todas las causas;Total;Cádiz;4692
001-102 I-XXII.Todas las causas;Total;Cantabria;2918
001-102 I-XXII.Todas las causas;Total;Castellón;2524
001-102 I-XXII.Todas las causas;Total;Ciudad Real;4111
001-102 I-XXII.Todas las causas;Total;Córdoba;3492
001-102 I-XXII.Todas las causas;Total;Coruña, A;5920
001-102 I-XXII.Todas las causas;Total;Cuenca;1433
001-102 I-XXII.Todas las causas;Total;Gipuzkoa;3307
001-102 I-XXII.Todas las causas;Total;Girona;3225
001-102 I-XXII.Todas las causas;Total;Granada;3995
001-102 I-XXII.Todas las causas;Total;Guadalajara;1525
001-102 I-XXII.Todas las causas;Total;Huelva;1909
001-102 I-XXII.Todas las causas;Total;Huesca;1146
001-102 I-XXII.Todas las causas;Total;Jaén;2937
001-102 I-XXII.Todas las causas;Total;León;3545
001-102 I-XXII.Todas las causas;Total;Lleida;2074
001-102 I-XXII.Todas las causas;Total;Lugo;2258
001-102 I-XXII.Todas las causas;Total;Madrid;37309
001-102 I-XXII.Todas las causas;Total;Málaga;6212
001-102 I-XXII.Todas las causas;Total;Murcia;5222
001-102 I-XXII.Todas las causas;Total;Navarra;3209
001-102 I-XXII.Todas las causas;Total;Ourense;2148
001-102 I-XXII.Todas las causas;Total;Palencia;1071
001-102 I-XXII.Todas las causas;Total;Palmas, Las;3660
001-102 I-XXII.Todas las causas;Total;Pontevedra;4031
001-102 I-XXII.Todas las causas;Total;Rioja, La;1722
001-102 I-XXII.Todas las causas;Total;Salamanca;2733
001-102 I-XXII.Todas las causas;Total;Santa Cruz de Tenerife;3692
001-102 I-XXII.Todas las causas;Total;Segovia;1456
001-102 I-XXII.Todas las causas;Total;Sevilla;7406
001-102 I-XXII.Todas las causas;Total;Soria;827
001-102 I-XXII.Todas las causas;Total;Tarragona;3405
001-102 I-XXII.Todas las causas;Total;Teruel;835
001-102 I-XXII.Todas las causas;Total;Toledo;3921
001-102 I-XXII.Todas las causas;Total;Valencia/València;11021
001-102 I-XXII.Todas las causas;Total;Valladolid;2943
001-102 I-XXII.Todas las causas;Total;Zamora;1208
001-102 I-XXII.Todas las causas;Total;Zaragoza;5019
001-102 I-XXII.Todas las causas;Total;Ceuta;278
001-102 I-XXII.Todas las causas;Total;Melilla;230
001-102 I-XXII.Todas las causas;Hombres;Total;115541
001-102 I-XXII.Todas las causas;Hombres;Albacete;1433
001-102 I-XXII.Todas las causas;Hombres;Alicante/Alacant;4057
001-102 I-XXII.Todas las causas;Hombres;Almería;1274
001-102 I-XXII.Todas las causas;Hombres;Araba/Alava;770
001-102 I-XXII.Todas las causas;Hombres;Asturias;2975
001-102 I-XXII.Todas las causas;Hombres;Avila;624
001-102 I-XXII.Todas las causas;Hombres;Badajoz;1623
001-102 I-XXII.Todas las causas;Hombres;Balears, Illes;1876
001-102 I-XXII.Todas las causas;Hombres;Barcelona;15087
001-102 I-XXII.Todas las causas;Hombres;Bizkaia;2956
001-102 I-XXII.Todas las causas;Hombres;Burgos;1073
001-102 I-XXII.Todas las causas;Hombres;Cáceres;1313
001-102 I-XXII.Todas las causas;Hombres;Cádiz;2399
001-102 I-XXII.Todas las causas;Hombres;Cantabria;1393
001-102 I-XXII.Todas las causas;Hombres;Castellón/Castelló;1263
001-102 I-XXII.Todas las causas;Hombres;Ciudad Real;2068
001-102 I-XXII.Todas las causas;Hombres;Córdoba;1697
001-102 I-XXII.Todas las causas;Hombres;Coruña, A;2883
001-102 I-XXII.Todas las causas;Hombres;Cuenca;736
001-102 I-XXII.Todas las causas;Hombres;Gipuzkoa;1600
001-102 I-XXII.Todas las causas;Hombres;Girona;1638
001-102 I-XXII.Todas las causas;Hombres;Granada;2006
001-102 I-XXII.Todas las causas;Hombres;Guadalajara;796
001-102 I-XXII.Todas las causas;Hombres;Huelva;950
001-102 I-XXII.Todas las causas;Hombres;Huesca;593
001-102 I-XXII.Todas las causas;Hombres;Jaén;1473
001-102 I-XXII.Todas las causas;Hombres;León;1749
001-102 I-XXII.Todas las causas;Hombres;Lleida;1096
001-102 I-XXII.Todas las causas;Hombres;Lugo;1104
001-102 I-XXII.Todas las causas;Hombres;Madrid;18372
001-102 I-XXII.Todas las causas;Hombres;Málaga;3240
001-102 I-XXII.Todas las causas;Hombres;Murcia;2721
001-102 I-XXII.Todas las causas;Hombres;Navarra;1598
001-102 I-XXII.Todas las causas;Hombres;Ourense;1039
001-102 I-XXII.Todas las causas;Hombres;Palencia;508
001-102 I-XXII.Todas las causas;Hombres;Palmas, Las;1995
001-102 I-XXII.Todas las causas;Hombres;Pontevedra;1922
001-102 I-XXII.Todas las causas;Hombres;Rioja, La;897
001-102 I-XXII.Todas las causas;Hombres;Salamanca;1376
001-102 I-XXII.Todas las causas;Hombres;Santa Cruz de Tenerife;1920
001-102 I-XXII.Todas las causas;Hombres;Segovia;736
001-102 I-XXII.Todas las causas;Hombres;Sevilla;3696
001-102 I-XXII.Todas las causas;Hombres;Soria;432
001-102 I-XXII.Todas las causas;Hombres;Tarragona;1816
001-102 I-XXII.Todas las causas;Hombres;Teruel;408
001-102 I-XXII.Todas las causas;Hombres;Toledo;1990
001-102 I-XXII.Todas las causas;Hombres;Valencia/València;5638
001-102 I-XXII.Todas las causas;Hombres;Valladolid;1466
001-102 I-XXII.Todas las causas;Hombres;Zamora;601
001-102 I-XXII.Todas las causas;Hombres;Zaragoza;2409
001-102 I-XXII.Todas las causas;Hombres;Ceuta;143
001-102 I-XXII.Todas las causas;Hombres;Melilla;113
001-102 I-XXII.Todas las causas;Mujeres;Total;115473
001-102 I-XXII.Todas las causas;Mujeres;Albacete;1381
001-102 I-XXII.Todas las causas;Mujeres;Alicante/Alacant;3553
001-102 I-XXII.Todas las causas;Mujeres;Almería;1111
001-102 I-XXII.Todas las causas;Mujeres;Araba/Alava;737
001-102 I-XXII.Todas las causas;Mujeres;Asturias;3242
001-102 I-XXII.Todas las causas;Mujeres;Avila;582
001-102 I-XXII.Todas las causas;Mujeres;Badajoz;1580
001-102 I-XXII.Todas las causas;Mujeres;Balears, Illes;1744
001-102 I-XXII.Todas las causas;Mujeres;Barcelona;15874
001-102 I-XXII.Todas las causas;Mujeres;Bizkaia;3160
001-102 I-XXII.Todas las causas;Mujeres;Burgos;1068
001-102 I-XXII.Todas las causas;Mujeres;Cáceres;1352
001-102 I-XXII.Todas las causas;Mujeres;Cádiz;2293
001-102 I-XXII.Todas las causas;Mujeres;Cantabria;1525
001-102 I-XXII.Todas las causas;Mujeres;Castellón/Castelló;1261
001-102 I-XXII.Todas las causas;Mujeres;Ciudad Real;2043
001-102 I-XXII.Todas las causas;Mujeres;Córdoba;1795
001-102 I-XXII.Todas las causas;Mujeres;Coruña, A;3037
001-102 I-XXII.Todas las causas;Mujeres;Cuenca;697
001-102 I-XXII.Todas las causas;Mujeres;Gipuzkoa;1707
001-102 I-XXII.Todas las causas;Mujeres;Girona;1587
001-102 I-XXII.Todas las causas;Mujeres;Granada;1989
001-102 I-XXII.Todas las causas;Mujeres;Guadalajara;729
001-102 I-XXII.Todas las causas;Mujeres;Huelva;959
001-102 I-XXII.Todas las causas;Mujeres;Huesca;553
001-102 I-XXII.Todas las causas;Mujeres;Jaén;1464
001-102 I-XXII.Todas las causas;Mujeres;León;1796
001-102 I-XXII.Todas las causas;Mujeres;Lleida;978
001-102 I-XXII.Todas las causas;Mujeres;Lugo;1154
001-102 I-XXII.Todas las causas;Mujeres;Madrid;18937
001-102 I-XXII.Todas las causas;Mujeres;Málaga;2972
001-102 I-XXII.Todas las causas;Mujeres;Murcia;2501
001-102 I-XXII.Todas las causas;Mujeres;Navarra;1611
001-102 I-XXII.Todas las causas;Mujeres;Ourense;1109
001-102 I-XXII.Todas las causas;Mujeres;Palencia;563
001-102 I-XXII.Todas las causas;Mujeres;Palmas, Las;1665
001-102 I-XXII.Todas las causas;Mujeres;Pontevedra;2109
001-102 I-XXII.Todas las causas;Mujeres;Rioja, La;825
001-102 I-XXII.Todas las causas;Mujeres;Salamanca;1357
001-102 I-XXII.Todas las causas;Mujeres;Santa Cruz de Tenerife;1772
001-102 I-XXII.Todas las causas;Mujeres;Segovia;720
001-102 I-XXII.Todas las causas;Mujeres;Sevilla;3710
001-102 I-XXII.Todas las causas;Mujeres;Soria;395
001-102 I-XXII.Todas las causas;Mujeres;Tarragona;1589
001-102 I-XXII.Todas las causas;Mujeres;Teruel;427
001-102 I-XXII.Todas las causas;Mujeres;Toledo;1931
001-102 I-XXII.Todas las causas;Mujeres;Valencia/València;5383
001-102 I-XXII.Todas las causas;Mujeres;Valladolid;1477
001-102 I-XXII.Todas las causas;Mujeres;Zamora;607
001-102 I-XXII.Todas las causas;Mujeres;Zaragoza;2610
001-102 I-XXII.Todas las causas;Mujeres;Ceuta;135
001-102 I-XXII.Todas las causas;Mujeres;Melilla;117
001-008 I.Enfermedades infecciosas y parasitarias;Total;Total;48393
001-008 I.Enfermedades infecciosas y parasitarias;Total;Albacete;1099
001-008 I.Enfermedades infecciosas y parasitarias;Total;Alicante/Alacant;758
001-008 I.Enfermedades infecciosas y parasitarias;Total;Almería;108
001-008 I.Enfermedades infecciosas y parasitarias;Total;Araba/Alava;385
001-008 I.Enfermedades infecciosas y parasitarias;Total;Asturias;606
001-008 I.Enfermedades infecciosas y parasitarias;Total;Avila;395
001-008 I.Enfermedades infecciosas y parasitarias;Total;Badajoz;187
001-008 I.Enfermedades infecciosas y parasitarias;Total;Balears, Illes;307
001-008 I.Enfermedades infecciosas y parasitarias;Total;Barcelona;9769
001-008 I.Enfermedades infecciosas y parasitarias;Total;Bizkaia;1013
001-008 I.Enfermedades infecciosas y parasitarias;Total;Burgos;479
001-008 I.Enfermedades infecciosas y parasitarias;Total;Cáceres;639
001-008 I.Enfermedades infecciosas y parasitarias;Total;Cádiz;272
001-008 I.Enfermedades infecciosas y parasitarias;Total;Cantabria;330
001-008 I.Enfermedades infecciosas y parasitarias;Total;Castellón/Castelló;273
001-008 I.Enfermedades infecciosas y parasitarias;Total;Ciudad Real;1771
001-008 I.Enfermedades infecciosas y parasitarias;Total;Córdoba;224
001-008 I.Enfermedades infecciosas y parasitarias;Total;Coruña, A;413
001-008 I.Enfermedades infecciosas y parasitarias;Total;Cuenca;451
001-008 I.Enfermedades infecciosas y parasitarias;Total;Gipuzkoa;399
001-008 I.Enfermedades infecciosas y parasitarias;Total;Girona;603
001-008 I.Enfermedades infecciosas y parasitarias;Total;Granada;472
001-008 I.Enfermedades infecciosas y parasitarias;Total;Guadalajara;545
001-008 I.Enfermedades infecciosas y parasitarias;Total;Huelva;90
001-008 I.Enfermedades infecciosas y parasitarias;Total;Huesca;161
001-008 I.Enfermedades infecciosas y parasitarias;Total;Jaén;308
